36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
36.59983378157289 Best path starting from 'A': ['A', 'G', 'D', 'F', 'C', 'B', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
38.0256747939462 Best path starting from 'A': ['A', 'G', 'E', 'D', 'F', 'C', 'B', 'A']
38.38135671539294 Best path starting from 'A': ['A', 'G', 'E', 'B', 'D', 'F', 'C', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
38.38135671539294 Best path starting from 'A': ['A', 'G', 'E', 'B', 'D', 'F', 'C', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
38.38135671539294 Best path starting from 'A': ['A', 'G', 'E', 'B', 'D', 'F', 'C', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
38.38135671539294 Best path starting from 'A': ['A', 'G', 'E', 'B', 'D', 'F', 'C', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.59983378157289 Best path starting from 'A': ['A', 'G', 'D', 'F', 'C', 'B', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
38.19737170379153 Best path starting from 'A': ['A', 'G', 'B', 'E', 'C', 'F', 'D', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'D', 'F', 'C', 'B', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
38.38135671539294 Best path starting from 'A': ['A', 'G', 'E', 'B', 'D', 'F', 'C', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.59983378157289 Best path starting from 'A': ['A', 'G', 'D', 'F', 'C', 'B', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'D', 'F', 'C', 'B', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.59983378157289 Best path starting from 'A': ['A', 'G', 'D', 'F', 'C', 'B', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
36.59983378157289 Best path starting from 'A': ['A', 'G', 'D', 'F', 'C', 'B', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'D', 'F', 'C', 'B', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
38.38135671539294 Best path starting from 'A': ['A', 'G', 'E', 'B', 'D', 'F', 'C', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
38.38135671539294 Best path starting from 'A': ['A', 'G', 'E', 'B', 'D', 'F', 'C', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'D', 'F', 'C', 'B', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.59983378157289 Best path starting from 'A': ['A', 'G', 'D', 'F', 'C', 'B', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.59983378157289 Best path starting from 'A': ['A', 'G', 'D', 'F', 'C', 'B', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
38.34618397117774 Best path starting from 'A': ['A', 'E', 'B', 'D', 'F', 'C', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
38.0256747939462 Best path starting from 'A': ['A', 'G', 'E', 'D', 'F', 'C', 'B', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
38.0256747939462 Best path starting from 'A': ['A', 'G', 'E', 'D', 'F', 'C', 'B', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'D', 'F', 'C', 'B', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
38.16275342101084 Best path starting from 'A': ['A', 'D', 'B', 'F', 'C', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
36.59983378157289 Best path starting from 'A': ['A', 'G', 'D', 'F', 'C', 'B', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'D', 'F', 'C', 'B', 'E', 'G', 'A']
38.38135671539294 Best path starting from 'A': ['A', 'G', 'E', 'B', 'D', 'F', 'C', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'D', 'F', 'C', 'B', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'D', 'F', 'C', 'B', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'G', 'E', 'C', 'F', 'D', 'B', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'D', 'F', 'C', 'B', 'E', 'G', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
38.13534756202491 Best path starting from 'A': ['A', 'G', 'B', 'C', 'F', 'D', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
38.38135671539294 Best path starting from 'A': ['A', 'G', 'E', 'B', 'D', 'F', 'C', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
36.59983378157289 Best path starting from 'A': ['A', 'G', 'D', 'F', 'C', 'B', 'E', 'A']
36.79327012304664 Best path starting from 'A': ['A', 'B', 'D', 'F', 'C', 'E', 'G', 'A']
36.59983378157289 Best path starting from 'A': ['A', 'G', 'D', 'F', 'C', 'B', 'E', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
38.38135671539294 Best path starting from 'A': ['A', 'G', 'E', 'B', 'D', 'F', 'C', 'A']
36.90294289112535 Best path starting from 'A': ['A', 'G', 'B', 'D', 'F', 'C', 'E', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'G', 'E', 'B', 'C', 'F', 'D', 'A']
35.22810183197734 Best path starting from 'A': ['A', 'D', 'F', 'C', 'B', 'E', 'G', 'A']
